2025-09-28T23:55:04,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.sshd/sshd-osgi/2.9.2
2025-09-28T23:55:04,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.sshd/sshd-scp/2.9.2
2025-09-28T23:55:04,838 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.sshd/sshd-sftp/2.9.2
2025-09-28T23:55:04,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.jline/jline/3.21.0
2025-09-28T23:55:04,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.osgi/org.osgi.service.component/1.5.0
2025-09-28T23:55:04,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:com.ochafik/ochafik-swing/0.9.9
2025-09-28T23:55:04,839 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:com.sun.xml.bind/jaxb-impl/2.1.2
2025-09-28T23:55:04,840 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:jide/jide/3.5.1
2025-09-28T23:55:04,840 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.apache.httpcomponents/httpclient/4.5.13
2025-09-28T23:55:04,840 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.apache.httpcomponents/httpcore/4.4.8
2025-09-28T23:55:04,840 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-beans/3.2.8.RELEASE
2025-09-28T23:55:04,841 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-context/3.2.8.RELEASE
2025-09-28T23:55:04,841 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-core/3.2.8.RELEASE
2025-09-28T23:55:04,841 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-web/3.2.8.RELEASE
2025-09-28T23:55:04,841 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:file:/tmp/verisium_debug_temp_dir_2529483/karaf/system/com/cadence/tango/plugins/installer/1.0.0/jfxrt.jar
2025-09-28T23:55:04,842 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:file:/tmp/verisium_debug_temp_dir_2529483/karaf/system/com/cadence/tango/plugins/installer/1.0.0/jfxswt.jar
2025-09-28T23:55:04,842 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Stopping bundles:
